mechanism_type,experiment,learn_alg
single_item,affiliated_values,soda1_av
single_item,affiliated_values,soda2_av
single_item,affiliated_values,soma2_av
single_item,affiliated_values,sofw
single_item,affiliated_values,fp
single_item,common_value,soda1_cv
single_item,common_value,soda2_cv
single_item,common_value,soma2_cv
single_item,common_value,sofw
single_item,common_value,fp
llg_auction,nb_gamma1,soda1
llg_auction,nb_gamma1,soda2
llg_auction,nb_gamma1,soma2
llg_auction,nb_gamma1,sofw
llg_auction,nb_gamma1,fp
llg_auction,nb_gamma2,soda1
llg_auction,nb_gamma2,soda2
llg_auction,nb_gamma2,soma2
llg_auction,nb_gamma2,sofw
llg_auction,nb_gamma2,fp
llg_auction,nb_gamma3,soda1
llg_auction,nb_gamma3,soda2
llg_auction,nb_gamma3,soma2
llg_auction,nb_gamma3,sofw
llg_auction,nb_gamma3,fp
llg_auction,nz_gamma1,soda1
llg_auction,nz_gamma1,soda2
llg_auction,nz_gamma1,soma2
llg_auction,nz_gamma1,sofw
llg_auction,nz_gamma1,fp
llg_auction,nz_gamma2,soda1
llg_auction,nz_gamma2,soda2
llg_auction,nz_gamma2,soma2
llg_auction,nz_gamma2,sofw
llg_auction,nz_gamma2,fp
llg_auction,nz_gamma3,soda1
llg_auction,nz_gamma3,soda2
llg_auction,nz_gamma3,soma2
llg_auction,nz_gamma3,sofw
llg_auction,nz_gamma3,fp
llg_auction,nvcg_gamma1,soda1
llg_auction,nvcg_gamma1,soda2
llg_auction,nvcg_gamma1,soma2
llg_auction,nvcg_gamma1,sofw
llg_auction,nvcg_gamma1,fp
llg_auction,nvcg_gamma2,soda1
llg_auction,nvcg_gamma2,soda2
llg_auction,nvcg_gamma2,soma2
llg_auction,nvcg_gamma2,sofw
llg_auction,nvcg_gamma2,fp
llg_auction,nvcg_gamma3,soda1
llg_auction,nvcg_gamma3,soda2
llg_auction,nvcg_gamma3,soma2
llg_auction,nvcg_gamma3,sofw
llg_auction,nvcg_gamma3,fp
llg_auction,fp_gamma1,sofw
llg_auction,fp_gamma2,sofw
llg_auction,fp_gamma3,sofw
split_award,sa_uniform,soda1_unif
split_award,sa_uniform,soda2_unif
split_award,sa_uniform,soma2_unif
split_award,sa_uniform,sofw
split_award,sa_uniform,fp
split_award,sa_gaussian,soda1_gaus
split_award,sa_gaussian,soda2_gaus
split_award,sa_gaussian,soma2_gaus
split_award,sa_gaussian,sofw
split_award,sa_gaussian,fp
single_item,risk0_2,soda1_risk
single_item,risk0_2,soda2_risk
single_item,risk0_2,soma2_risk
single_item,risk0_2,sofw
single_item,risk0_2,fp
single_item,risk1_2,soda1_risk
single_item,risk1_2,soda2_risk
single_item,risk1_2,soma2_risk
single_item,risk1_2,sofw
single_item,risk1_2,fp
single_item,risk2_2,soda1_risk
single_item,risk2_2,soda2_risk
single_item,risk2_2,soma2_risk
single_item,risk2_2,sofw
single_item,risk2_2,fp
single_item,risk3_2,soda1_risk
single_item,risk3_2,soda2_risk
single_item,risk3_2,soma2_risk
single_item,risk3_2,sofw
single_item,risk3_2,fp
single_item,risk4_2,soda1_risk
single_item,risk4_2,soda2_risk
single_item,risk4_2,soma2_risk
single_item,risk4_2,sofw
single_item,risk4_2,fp
single_item,risk5_2,soda1_risk
single_item,risk5_2,soda2_risk
single_item,risk5_2,soma2_risk
single_item,risk5_2,sofw
single_item,risk5_2,fp
all_pay,risk0_2,soda1
all_pay,risk0_2,soda2
all_pay,risk0_2,soma2
all_pay,risk0_2,sofw
all_pay,risk0_2,fp
all_pay,risk1_2,soda1
all_pay,risk1_2,soda2
all_pay,risk1_2,soma2
all_pay,risk1_2,sofw
all_pay,risk1_2,fp
all_pay,risk2_2,soda1
all_pay,risk2_2,soda2
all_pay,risk2_2,soma2
all_pay,risk2_2,sofw
all_pay,risk2_2,fp
all_pay,risk3_2,soda1
all_pay,risk3_2,soda2
all_pay,risk3_2,soma2
all_pay,risk3_2,sofw
all_pay,risk3_2,fp
all_pay,risk4_2,soda1
all_pay,risk4_2,soda2
all_pay,risk4_2,soma2
all_pay,risk4_2,sofw
all_pay,risk4_2,fp
all_pay,risk5_2,soda1
all_pay,risk5_2,soda2
all_pay,risk5_2,soma2
all_pay,risk5_2,sofw
all_pay,risk5_2,fp
contest_game,asym_ratio1,soda1
contest_game,asym_ratio1,soda2
contest_game,asym_ratio1,soma2
contest_game,asym_ratio1,sofw
contest_game,asym_ratio1,fp
contest_game,asym_ratio2,soda1
contest_game,asym_ratio2,soda2
contest_game,asym_ratio2,soma2
contest_game,asym_ratio2,sofw
contest_game,asym_ratio2,fp
contest_game,asym_ratio3,soda1
contest_game,asym_ratio3,soda2
contest_game,asym_ratio3,soma2
contest_game,asym_ratio3,sofw
contest_game,asym_ratio3,fp
contest_game,sym_ratio1,soda1
contest_game,sym_ratio1,soda2
contest_game,sym_ratio1,soma2
contest_game,sym_ratio1,sofw
contest_game,sym_ratio1,fp
contest_game,sym_ratio2,soda1
contest_game,sym_ratio2,soda2
contest_game,sym_ratio2,soma2
contest_game,sym_ratio2,sofw
contest_game,sym_ratio2,fp
contest_game,sym_ratio3,soda1
contest_game,sym_ratio3,soda2
contest_game,sym_ratio3,soma2
contest_game,sym_ratio3,sofw
contest_game,sym_ratio3,fp
